step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr,phase
50,-0.723365,-0.787162,0.068618,0.029487,0.011348,4.111422,2.636817,0.000029,A
100,-0.732927,-0.796451,0.068119,0.029464,0.012717,5.529051,2.525156,0.000059,A
150,-0.731326,-0.795705,0.068417,0.030170,0.012377,4.525434,2.542937,0.000089,A
200,-0.723566,-0.789078,0.069288,0.030868,0.012772,3.472787,2.527233,0.000119,A
250,-0.718598,-0.783394,0.069082,0.030255,0.012521,6.395400,2.597981,0.000149,A
300,-0.735799,-0.800845,0.068617,0.030738,0.013199,4.372006,2.604271,0.000179,A
350,-0.709286,-0.776038,0.070111,0.031696,0.012394,9.311429,2.624948,0.000209,A
400,-0.722061,-0.788186,0.069461,0.031395,0.011682,5.699729,2.545579,0.000239,A
450,-0.744486,-0.807641,0.067704,0.029303,0.012344,4.426981,2.557901,0.000269,A
500,-0.737597,-0.801361,0.068061,0.029734,0.012463,5.310521,2.508164,0.000299,A
550,-0.737577,-0.800321,0.067868,0.028810,0.012168,3.971864,2.654088,0.000300,A
600,-0.729992,-0.795472,0.068979,0.030990,0.011946,5.531795,2.529158,0.000300,A
650,-0.743480,-0.805981,0.067576,0.028714,0.012371,5.580567,2.611974,0.000299,A
700,-0.723405,-0.788489,0.069158,0.030505,0.012289,5.975803,2.564272,0.000299,A
750,-0.741693,-0.805689,0.068000,0.029996,0.011516,6.076665,2.573400,0.000298,A
800,-0.729878,-0.794728,0.068906,0.030397,0.012666,6.370339,2.537468,0.000297,A
850,-0.739726,-0.804480,0.068332,0.030588,0.013965,3.992231,2.564806,0.000296,A
900,-0.734090,-0.799215,0.068853,0.030698,0.011344,6.856044,2.523480,0.000294,A
950,-0.726630,-0.791601,0.069033,0.030454,0.013115,3.546063,2.562705,0.000293,A
1000,-0.757011,-0.819552,0.067058,0.029012,0.012465,4.579483,2.555758,0.000291,A
1050,-0.731397,-0.796294,0.068874,0.030460,0.010165,4.322246,2.575744,0.000289,A
1100,-0.744078,-0.807500,0.067822,0.029511,0.011848,5.863335,2.689631,0.000287,A
1150,-0.734717,-0.799102,0.068682,0.030044,0.011902,4.754257,2.594509,0.000285,A
1200,-0.726745,-0.792319,0.069223,0.030962,0.014025,4.963626,2.565965,0.000283,A
1250,-0.739612,-0.804592,0.068356,0.030802,0.013798,4.294375,2.595635,0.000280,A
1300,-0.745604,-0.808605,0.067627,0.029187,0.014174,5.434967,2.550552,0.000277,A
1350,-0.747386,-0.811582,0.068089,0.030152,0.013018,5.875002,2.576926,0.000274,A
1400,-0.735825,-0.799295,0.068315,0.029313,0.013679,5.975200,2.639127,0.000272,A
1450,-0.755503,-0.817493,0.067073,0.028454,0.010065,6.426066,2.588898,0.000268,A
1500,-0.718161,-0.785172,0.070020,0.032001,0.011085,5.525771,2.591624,0.000265,A
1550,-0.723771,-0.791186,0.069753,0.032539,0.013943,4.804578,2.502476,0.000262,A
1600,-0.734733,-0.799948,0.068901,0.030764,0.011163,6.233617,2.494390,0.000258,A
1650,-0.731839,-0.796036,0.068376,0.030008,0.013660,4.628435,2.555966,0.000254,A
1700,-0.738830,-0.802880,0.068364,0.029869,0.011533,3.580290,2.604348,0.000251,A
1750,-0.744696,-0.809427,0.068395,0.030534,0.010610,3.275465,2.617005,0.000247,A
1800,-0.743417,-0.807383,0.068108,0.029912,0.012797,4.625012,2.618551,0.000243,A
1850,-0.748451,-0.812560,0.068153,0.030033,0.013231,4.818449,2.633425,0.000238,A
1900,-0.744655,-0.809984,0.068482,0.031088,0.016394,4.443804,2.585151,0.000234,A
1950,-0.739764,-0.804522,0.068511,0.030502,0.011899,3.923821,2.618201,0.000230,A
2000,-0.730580,-0.794920,0.068796,0.029942,0.012712,4.671838,2.610518,0.000225,A
2050,-0.741025,-0.805954,0.068555,0.030652,0.013286,3.559383,2.559713,0.000221,A
2100,-0.746645,-0.811430,0.068290,0.030640,0.012349,3.978997,2.624019,0.000216,A
2150,-0.755549,-0.818337,0.067387,0.029094,0.011675,3.883397,2.574446,0.000211,A
2200,-0.743259,-0.806609,0.068073,0.029314,0.012216,4.586740,2.624688,0.000207,A
2250,-0.747857,-0.811473,0.067917,0.029658,0.012974,9.850618,2.670567,0.000202,A
2300,-0.747160,-0.810944,0.067944,0.029812,0.013707,4.535758,2.625609,0.000197,A
2350,-0.743581,-0.808108,0.068304,0.030375,0.011820,5.764942,2.553123,0.000192,A
2400,-0.740730,-0.805205,0.068439,0.030256,0.012246,6.698230,2.616801,0.000187,A
2450,-0.735309,-0.801076,0.069013,0.031260,0.012335,4.282095,2.566617,0.000182,A
2500,-0.748465,-0.812014,0.067812,0.029643,0.012611,5.982475,2.564287,0.000177,A
2550,-0.739471,-0.804707,0.068708,0.030882,0.012679,4.130682,2.548315,0.000171,A
2600,-0.737821,-0.802021,0.068491,0.029954,0.013578,4.898621,2.653478,0.000166,A
2650,-0.742714,-0.807543,0.068488,0.030584,0.012750,4.675796,2.570141,0.000161,A
2700,-0.748389,-0.811855,0.067889,0.029522,0.011350,4.372017,2.638400,0.000156,A
2750,-0.756189,-0.819469,0.067419,0.029571,0.012516,4.677327,2.628537,0.000151,A
2800,-0.733170,-0.798838,0.069075,0.031131,0.012450,6.265938,2.663447,0.000145,A
2850,-0.749001,-0.813773,0.068308,0.030618,0.013569,5.843324,2.654468,0.000140,A
2900,-0.736972,-0.802183,0.068685,0.030868,0.013673,4.634012,2.552802,0.000135,A
2950,-0.733942,-0.799694,0.069068,0.031218,0.012847,5.454000,2.569740,0.000130,A
3000,-0.749936,-0.813222,0.067858,0.029357,0.013031,4.428924,2.691473,0.000125,A
3050,-0.747183,-0.811554,0.068203,0.030269,0.013292,5.164166,2.630786,0.000120,A
3100,-0.758458,-0.821249,0.067207,0.029187,0.014686,5.255659,2.648849,0.000114,A
3150,-0.743771,-0.808629,0.068591,0.030563,0.013678,5.123817,2.681897,0.000109,A
3200,-0.735089,-0.800704,0.068988,0.031122,0.013112,3.540953,2.613497,0.000104,A
3250,-0.754375,-0.816802,0.067215,0.028819,0.013130,7.399672,2.584422,0.000099,A
3300,-0.757770,-0.821160,0.067519,0.029631,0.012548,4.966721,2.617411,0.000095,A
3350,-0.745894,-0.810456,0.068210,0.030458,0.013105,6.348987,2.569144,0.000090,A
3400,-0.743066,-0.807832,0.068474,0.030528,0.012886,4.616362,2.605987,0.000085,A
3450,-0.755207,-0.819051,0.067771,0.029959,0.013517,10.857934,2.555703,0.000080,A
3500,-0.751227,-0.814875,0.067921,0.029688,0.013658,6.957666,2.636406,0.000076,A
3550,-0.754169,-0.816957,0.067367,0.029104,0.012640,4.005999,2.656820,0.000071,A
3600,-0.721034,-0.788101,0.069886,0.032124,0.012793,3.863740,2.646688,0.000067,A
3650,-0.740281,-0.806034,0.068888,0.031309,0.013774,3.753973,2.615293,0.000063,A
3700,-0.748432,-0.812367,0.067997,0.029936,0.012776,5.058359,2.606192,0.000059,A
3750,-0.751474,-0.815378,0.067871,0.029969,0.013669,4.638366,2.619568,0.000054,A
3800,-0.745505,-0.810908,0.068553,0.031126,0.013463,4.857474,2.613055,0.000051,A
3850,-0.737019,-0.800319,0.068154,0.029223,0.013142,7.142652,2.673923,0.000047,A
3900,-0.740828,-0.806447,0.068795,0.031222,0.013353,4.826092,2.561350,0.000043,A
3950,-0.755574,-0.818911,0.067605,0.029535,0.013464,16.017117,2.538379,0.000039,A
4000,-0.752312,-0.817263,0.068305,0.030799,0.014171,4.294338,2.598909,0.000036,A
4050,-0.763069,-0.825345,0.066899,0.028826,0.013357,4.626465,2.613744,0.000033,A
4100,-0.750332,-0.815071,0.068309,0.030585,0.013346,4.151991,2.640978,0.000030,A
4150,-0.744932,-0.808056,0.067881,0.029183,0.013846,5.954710,2.590467,0.000027,A
4200,-0.752658,-0.816543,0.067858,0.029957,0.013719,5.270301,2.637748,0.000024,A
4250,-0.729463,-0.796418,0.069649,0.032131,0.013320,7.454607,2.620708,0.000021,A
4300,-0.753572,-0.817590,0.067852,0.030093,0.012906,4.526347,2.595052,0.000019,A
4350,-0.742606,-0.807058,0.068269,0.030317,0.012633,4.730613,2.599778,0.000016,A
4400,-0.750405,-0.814834,0.068051,0.030404,0.012365,3.457244,2.595648,0.000014,A
4450,-0.746239,-0.810799,0.068269,0.030426,0.012571,3.560757,2.615079,0.000012,A
4500,-0.744567,-0.808802,0.068299,0.030086,0.012788,3.645023,2.617874,0.000010,A
4550,-0.751151,-0.814273,0.067808,0.029218,0.012949,5.294527,2.608412,0.000008,A
4600,-0.752414,-0.815588,0.067622,0.029363,0.012920,3.492800,2.599067,0.000007,A
4650,-0.742339,-0.807663,0.068629,0.031010,0.012979,3.909540,2.602329,0.000005,A
4700,-0.749379,-0.813712,0.068146,0.030260,0.013159,4.578018,2.597978,0.000004,A
4750,-0.748990,-0.813163,0.067942,0.030202,0.013119,3.366368,2.599708,0.000003,A
4800,-0.733335,-0.799245,0.069241,0.031289,0.013030,4.021288,2.613011,0.000002,A
4850,-0.742584,-0.807141,0.068529,0.030292,0.013129,3.966874,2.618845,0.000002,A
4900,-0.752265,-0.815628,0.067547,0.029589,0.013046,3.977627,2.617260,0.000001,A
4950,-0.762298,-0.825175,0.067229,0.029263,0.013069,4.311816,2.616061,0.000001,A
5000,-0.742009,-0.807416,0.068893,0.030961,0.013159,4.202893,2.617741,0.000001,A
5050,-5.968337,-0.794662,0.068777,0.030442,0.012812,197.073627,2.637156,0.000010,B
5100,-6.819692,-0.791362,0.068776,0.030358,0.013159,76.920918,2.682742,0.000020,B
5150,-8.068871,-0.787036,0.069020,0.030329,0.013108,85.514712,2.688223,0.000030,B
5200,-9.187650,-0.810559,0.067619,0.029490,0.012924,53.275462,2.628772,0.000040,B
5250,-9.769402,-0.804490,0.068464,0.030529,0.013181,76.361476,2.561247,0.000050,B
5300,-9.760620,-0.814566,0.067808,0.029893,0.012875,52.583559,2.558783,0.000060,B
5350,-9.541356,-0.819050,0.067421,0.029198,0.013492,80.630302,2.551651,0.000070,B
5400,-9.637424,-0.789292,0.069823,0.032092,0.013002,70.360634,2.575180,0.000080,B
5450,-9.277162,-0.816723,0.067518,0.029499,0.013398,98.022729,2.576293,0.000090,B
5500,-9.252153,-0.806723,0.068388,0.030524,0.013756,58.643027,2.587242,0.000100,B
5550,-9.533626,-0.800411,0.068621,0.030280,0.013694,59.742906,2.614336,0.000100,B
5600,-9.147879,-0.799259,0.068672,0.030134,0.011277,84.594062,2.714066,0.000100,B
5650,-9.218697,-0.807997,0.068193,0.030024,0.011294,84.874320,2.635055,0.000100,B
5700,-9.638361,-0.805546,0.068758,0.030754,0.012231,79.834284,2.563508,0.000100,B
5750,-9.680575,-0.815699,0.067808,0.030133,0.013036,90.930607,2.560195,0.000100,B
5800,-9.244908,-0.789288,0.069010,0.030507,0.012445,90.321042,2.595505,0.000100,B
5850,-9.117027,-0.809645,0.067939,0.029679,0.011451,73.868177,2.565714,0.000100,B
5900,-9.434414,-0.799056,0.068463,0.029913,0.012244,79.733898,2.637673,0.000100,B
5950,-9.229144,-0.806224,0.068346,0.030371,0.013234,125.288413,2.593273,0.000100,B
6000,-8.856814,-0.799809,0.069024,0.031136,0.011943,61.667769,2.591234,0.000100,B
6050,-7.866229,-0.805344,0.068335,0.029913,0.011796,89.922024,2.564115,0.000100,B
6100,-7.968615,-0.805718,0.068484,0.030819,0.012207,51.543232,2.612800,0.000100,B
6150,-8.652157,-0.800516,0.068301,0.029877,0.013807,103.147421,2.512559,0.000100,B
6200,-8.959694,-0.812024,0.067904,0.029542,0.011317,63.958075,2.671397,0.000100,B
6250,-7.672843,-0.809033,0.068039,0.029866,0.012430,90.273147,2.656115,0.000100,B
6300,-8.614516,-0.804441,0.068600,0.030368,0.011161,94.293089,2.567873,0.000100,B
6350,-9.123619,-0.808886,0.067572,0.028809,0.012877,93.851907,2.559529,0.000100,B
6400,-9.642995,-0.811178,0.068005,0.030001,0.012714,71.591853,2.622004,0.000100,B
6450,-9.958851,-0.802488,0.068340,0.030099,0.013679,108.273006,2.658632,0.000100,B
6500,-9.864727,-0.800910,0.068894,0.030986,0.012180,83.129040,2.670000,0.000100,B
6550,-9.928466,-0.805675,0.068691,0.030962,0.010432,78.698066,2.615013,0.000100,B
6600,-9.974363,-0.796950,0.069077,0.031230,0.012502,72.688249,2.538939,0.000100,B
6650,-9.816336,-0.801476,0.068337,0.030134,0.011293,66.846540,2.584592,0.000100,B
6700,-9.663812,-0.816155,0.068006,0.030122,0.012834,104.871443,2.587963,0.000100,B
6750,-9.942642,-0.802874,0.068231,0.029601,0.011882,85.186130,2.584992,0.000100,B
6800,-9.968413,-0.806823,0.068049,0.029530,0.011417,67.773530,2.763070,0.000100,B
6850,-9.777176,-0.805521,0.068455,0.030278,0.012034,104.288950,2.539797,0.000100,B
6900,-9.578575,-0.812224,0.068204,0.030435,0.013043,81.453998,2.578609,0.000100,B
6950,-9.766106,-0.803105,0.068665,0.030293,0.012094,103.217306,2.562176,0.000100,B
7000,-9.821079,-0.810134,0.067860,0.029897,0.012052,93.405823,2.495570,0.000100,B
7050,-9.951347,-0.810967,0.068080,0.030061,0.011439,118.295786,2.592859,0.000100,B
7100,-9.807927,-0.810351,0.068083,0.030171,0.012881,74.588093,2.600644,0.000100,B
7150,-9.455116,-0.800367,0.068817,0.030753,0.014041,89.734573,2.593712,0.000100,B
7200,-9.312258,-0.800607,0.068638,0.030542,0.012710,47.605006,2.661960,0.000100,B
7250,-9.472112,-0.817226,0.067765,0.029721,0.009178,117.536335,2.597230,0.000100,B
7300,-9.424056,-0.791539,0.069181,0.030348,0.010812,80.866753,2.615098,0.000100,B
7350,-9.366240,-0.804525,0.068267,0.030126,0.013076,95.838814,2.570585,0.000100,B
7400,-10.017259,-0.813635,0.067943,0.030216,0.014303,64.267023,2.586177,0.000100,B
7450,-9.950760,-0.809263,0.068210,0.029956,0.013926,98.381994,2.628633,0.000100,B
7500,-9.391627,-0.808726,0.067970,0.029667,0.011832,62.985252,2.552911,0.000100,B
7550,-9.729052,-0.805438,0.068550,0.030768,0.012605,77.453414,2.584253,0.000099,B
7600,-9.990563,-0.802722,0.068689,0.030711,0.012839,149.206771,2.565616,0.000099,B
7650,-9.872974,-0.808601,0.068083,0.029580,0.012369,136.478202,2.615150,0.000099,B
7700,-10.001143,-0.799491,0.068516,0.029818,0.013773,106.753961,2.665158,0.000099,B
7750,-10.027473,-0.807724,0.068289,0.030610,0.011554,117.863459,2.574917,0.000099,B
7800,-9.933289,-0.812999,0.067841,0.030133,0.014082,76.865664,2.563666,0.000099,B
7850,-9.702424,-0.803876,0.068775,0.031170,0.011877,51.775718,2.570733,0.000099,B
7900,-9.925837,-0.809703,0.067913,0.029515,0.012581,84.421014,2.633524,0.000099,B
7950,-9.410100,-0.803750,0.068089,0.029359,0.011068,123.832363,2.549966,0.000099,B
8000,-8.663484,-0.815896,0.067937,0.030088,0.013241,82.335386,2.646941,0.000099,B
8050,-8.730807,-0.806893,0.068481,0.030728,0.012720,63.048899,2.567039,0.000099,B
8100,-8.958927,-0.793236,0.068904,0.030568,0.011688,196.335322,2.635134,0.000099,B
8150,-9.385191,-0.805077,0.068491,0.030912,0.013663,96.490762,2.568669,0.000099,B
8200,-9.530224,-0.798426,0.069380,0.031513,0.013485,167.367896,2.504360,0.000099,B
8250,-9.799411,-0.811835,0.067740,0.029161,0.012274,125.091518,2.564992,0.000099,B
8300,-9.841951,-0.795972,0.069026,0.031139,0.011573,118.567122,2.541039,0.000099,B
8350,-9.935081,-0.809088,0.067963,0.029790,0.012919,141.100902,2.587270,0.000099,B
8400,-10.035095,-0.814282,0.067532,0.029282,0.012755,65.669929,2.641750,0.000099,B
8450,-10.000605,-0.821993,0.067216,0.029145,0.013729,98.184533,2.658902,0.000099,B
8500,-9.991683,-0.791363,0.069346,0.031164,0.011422,111.865551,2.564090,0.000099,B
8550,-10.026680,-0.808383,0.067944,0.029450,0.011440,73.857623,2.620803,0.000099,B
8600,-10.019267,-0.803915,0.068850,0.031141,0.011664,250.393842,2.542781,0.000099,B
8650,-10.002487,-0.807798,0.068084,0.030094,0.013536,79.827215,2.553758,0.000099,B
8700,-9.910434,-0.800744,0.068339,0.029648,0.012128,132.149542,2.543409,0.000099,B
8750,-9.711670,-0.802576,0.068690,0.030570,0.012650,230.214093,2.512332,0.000099,B
8800,-9.764766,-0.795716,0.068806,0.030438,0.012572,136.227125,2.576621,0.000099,B
8850,-10.036701,-0.803671,0.068317,0.030344,0.011937,84.953375,2.527459,0.000099,B
8900,-9.995555,-0.806486,0.067970,0.029467,0.010923,78.308773,2.534486,0.000099,B
8950,-9.882976,-0.806514,0.067959,0.029276,0.011295,130.924946,2.621952,0.000099,B
9000,-9.852512,-0.808047,0.068327,0.030075,0.010048,116.771108,2.533758,0.000098,B
9050,-9.908404,-0.813836,0.068056,0.030141,0.010986,146.549079,2.508273,0.000098,B
9100,-9.981493,-0.797005,0.069160,0.031194,0.011412,88.040685,2.570680,0.000098,B
9150,-9.979939,-0.804870,0.068377,0.030134,0.012710,83.334700,2.617532,0.000098,B
9200,-9.911833,-0.791575,0.069550,0.032083,0.012848,137.018323,2.604752,0.000098,B
9250,-10.011423,-0.802946,0.068384,0.029726,0.011619,85.033239,2.599076,0.000098,B
9300,-9.978743,-0.816785,0.067510,0.029443,0.011654,386.825813,2.589165,0.000098,B
9350,-9.914091,-0.819357,0.067306,0.029029,0.010841,86.323562,2.599136,0.000098,B
9400,-9.844534,-0.808407,0.068391,0.030333,0.011923,96.320306,2.604969,0.000098,B
9450,-9.875548,-0.806234,0.068264,0.030370,0.010474,157.390808,2.580105,0.000098,B
9500,-9.955290,-0.803640,0.068090,0.029205,0.010162,91.579133,2.633224,0.000098,B
9550,-10.025823,-0.805391,0.068538,0.031168,0.011470,109.788060,2.548195,0.000098,B
9600,-10.078665,-0.802139,0.068029,0.029029,0.012778,181.279155,2.507919,0.000098,B
9650,-10.098783,-0.807904,0.068552,0.030566,0.012815,83.297670,2.512290,0.000098,B
9700,-10.090626,-0.800161,0.068036,0.029095,0.012856,113.606347,2.561167,0.000098,B
9750,-10.080936,-0.801857,0.068469,0.030055,0.012407,86.203435,2.579135,0.000098,B
9800,-9.816657,-0.810373,0.067510,0.029239,0.011592,152.015645,2.580277,0.000098,B
9850,-10.002041,-0.795504,0.069467,0.031757,0.010762,89.456749,2.584176,0.000098,B
9900,-10.085738,-0.808991,0.068070,0.029502,0.010959,90.378972,2.572317,0.000098,B
9950,-10.107782,-0.807955,0.068521,0.031194,0.010895,102.619216,2.631939,0.000098,B
10000,-10.088779,-0.814268,0.067551,0.029108,0.010188,97.242818,2.557532,0.000098,B
10050,-10.071198,-0.798080,0.068677,0.030021,0.011770,71.826420,2.611066,0.000097,B
10100,-9.852786,-0.793278,0.068993,0.030491,0.010254,132.845866,2.517658,0.000097,B
10150,-9.906127,-0.806859,0.068558,0.030673,0.011362,74.831242,2.577650,0.000097,B
10200,-10.131908,-0.806502,0.068452,0.030414,0.011769,165.648785,2.548420,0.000097,B
10250,-10.062563,-0.808841,0.067983,0.030016,0.011066,148.205567,2.613005,0.000097,B
10300,-9.735859,-0.807599,0.068033,0.029893,0.012268,101.562967,2.596692,0.000097,B
10350,-9.485340,-0.807160,0.068029,0.029466,0.011573,53.417142,2.542774,0.000097,B
10400,-9.225983,-0.809698,0.067960,0.029663,0.011738,64.081361,2.606932,0.000097,B
10450,-9.360816,-0.796394,0.069109,0.031100,0.014121,217.845371,2.505227,0.000097,B
10500,-10.003588,-0.811556,0.067726,0.029585,0.013442,103.142262,2.592158,0.000097,B
10550,-10.113999,-0.797315,0.069077,0.031303,0.010759,88.414590,2.526759,0.000097,B
10600,-10.012092,-0.796840,0.068639,0.030396,0.011614,83.044291,2.595842,0.000097,B
10650,-9.599746,-0.801014,0.068452,0.029797,0.012964,166.106020,2.584122,0.000097,B
10700,-9.582800,-0.801841,0.068738,0.030589,0.013102,106.862640,2.581659,0.000097,B
10750,-9.677847,-0.808657,0.068286,0.030552,0.011556,116.851569,2.590136,0.000097,B
10800,-9.834855,-0.805818,0.068549,0.030362,0.012086,90.350328,2.546286,0.000097,B
10850,-9.783655,-0.808774,0.068063,0.029770,0.013251,149.809887,2.560375,0.000097,B
10900,-9.986465,-0.806971,0.068162,0.030337,0.013225,137.204377,2.574896,0.000096,B
10950,-10.003558,-0.806329,0.067938,0.029508,0.011779,79.702447,2.546876,0.000096,B
11000,-10.023856,-0.810315,0.068193,0.030644,0.012300,163.608672,2.545330,0.000096,B
11050,-10.047471,-0.809202,0.067824,0.029471,0.011737,98.042584,2.488018,0.000096,B
11100,-10.164029,-0.803311,0.068772,0.030397,0.012947,58.755685,2.547430,0.000096,B
11150,-10.175415,-0.795504,0.069337,0.031430,0.013213,92.438998,2.578136,0.000096,B
11200,-10.138144,-0.805224,0.068026,0.029597,0.011808,85.929126,2.601699,0.000096,B
11250,-10.099822,-0.791328,0.070045,0.032788,0.013868,97.929564,2.543592,0.000096,B
11300,-10.107980,-0.812154,0.067558,0.029304,0.010378,118.900581,2.450337,0.000096,B
11350,-10.151540,-0.791462,0.069335,0.030894,0.012301,94.772505,2.576763,0.000096,B
11400,-10.146143,-0.809313,0.068085,0.030345,0.010992,101.968011,2.596201,0.000096,B
11450,-9.900351,-0.818705,0.067245,0.028868,0.012007,110.530214,2.633901,0.000096,B
11500,-10.124648,-0.800084,0.068276,0.029358,0.011930,121.323087,2.603799,0.000096,B
11550,-10.012664,-0.818333,0.067550,0.029297,0.012377,136.470190,2.571339,0.000096,B
11600,-9.694350,-0.803148,0.068551,0.030971,0.013220,194.689080,2.547758,0.000095,B
11650,-9.607498,-0.812139,0.068002,0.029723,0.012311,94.091420,2.576682,0.000095,B
11700,-9.669952,-0.802712,0.068017,0.029160,0.012378,174.688052,2.533168,0.000095,B
11750,-9.824253,-0.806619,0.067822,0.029390,0.014042,104.159272,2.618643,0.000095,B
11800,-10.063897,-0.803857,0.068800,0.031103,0.014474,63.166542,2.667886,0.000095,B
11850,-9.586516,-0.799637,0.069166,0.030895,0.013851,124.768997,2.505984,0.000095,B
11900,-9.764886,-0.817502,0.067015,0.028531,0.012700,83.993236,2.591108,0.000095,B
11950,-9.190497,-0.788898,0.069740,0.031816,0.013477,154.827336,2.622467,0.000095,B
12000,-9.266295,-0.823510,0.066997,0.028643,0.013610,85.098965,2.614961,0.000095,B
12050,-9.351170,-0.796261,0.069176,0.031476,0.013132,140.731129,2.644893,0.000095,B
12100,-9.456758,-0.811047,0.068203,0.030777,0.013307,143.566340,2.571114,0.000095,B
12150,-9.729304,-0.798432,0.068616,0.029764,0.012968,221.209696,2.515915,0.000095,B
12200,-10.078214,-0.806143,0.068742,0.030912,0.012761,88.827381,2.479556,0.000095,B
12250,-10.195662,-0.808078,0.068441,0.030889,0.010962,119.427035,2.544209,0.000094,B
12300,-10.229218,-0.813398,0.067809,0.029777,0.012152,125.018262,2.632349,0.000094,B
12350,-10.286000,-0.803386,0.068611,0.030588,0.013590,100.074159,2.610387,0.000094,B
12400,-10.230306,-0.801595,0.068810,0.030903,0.011249,221.447258,2.555468,0.000094,B
12450,-10.233331,-0.811431,0.067577,0.029101,0.013052,177.347785,2.535553,0.000094,B
12500,-9.969889,-0.809350,0.068246,0.030269,0.014606,152.976986,2.694613,0.000094,B
